"","date","Trump","Cruz","Kasich","Bush","Carson","Christie","Fiorina","Graham","Huckabee","Jindal","Pataki","Paul","Perry","Rubio","Santorum","Walker"
"81",2015-12-07,35.051535167922,13.7276393643395,2.22264572041972,5.20937351034954,12.5975141018645,3.01392454317244,2.51741272118477,0.43237022230379,2.05128636329799,0,0.217903488501576,2.34719264325489,0,12.1002916845348,0.378535238695178,0
"82",2015-12-06,35.0323024530452,13.6058986054988,2.23662617089371,5.2641891924345,12.8410242588961,2.99848983222979,2.54346352703554,0.412603194216303,2.03654712573874,0,0.217947168967555,2.36098182347192,0,12.1689307289862,0.35806439998011,0
"83",2015-12-04,34.7838186288667,13.3514173679709,2.33587372019964,5.31913803552622,13.3839757204533,2.95342826260797,2.57568573832184,0.36384578004778,2.02415273598975,0,0.213290647564226,2.37291258737794,0,12.3657573257741,0.327905959178429,0
"84",2015-12-02,34.5992503293956,13.1067932836012,2.42052259283271,5.44556061835725,13.8644052441879,2.90408938949927,2.64573114421773,0.407886944366827,2.00338085308345,0,0.249886425714887,2.42788390558545,0,12.4900137029755,0.376568022380256,0
"85",2015-12-01,34.4573723565142,12.9193709691435,2.46610214004551,5.49023485323935,14.083558362152,2.90044049679931,2.69670991603864,0.440021964519566,2.08071324249799,0.254927099903908,0.249739208884206,2.47859268785422,0,12.4710192507438,0.399559797034228,0
"86",2015-11-30,34.1505925600217,12.7298245400226,2.4603065064071,5.48588154527596,14.3993081841438,2.90404401356704,2.74217401988671,0.462102124172188,2.16570853096034,0,0.261085464947934,2.50136464808718,0,12.3965954185427,0.411160266182436,0
"87",2015-11-25,32.9686626912213,11.9962658960729,2.46793236546567,5.57998203991462,15.9827860685996,2.82758767830772,2.95151389058038,0.512987644429654,2.4199436753131,0,0.250094138304917,2.56823717380761,0,12.2460315016059,0.507947880493128,0
"88",2015-11-23,32.7131772573098,11.7798977860611,2.47375549699574,5.64467674282918,16.5271199615112,2.7907275402331,3.05858994809065,0.538456758874265,2.57063684256048,0,0.238116699813599,2.578562074299,0,12.2511060003052,0.545435193311446,0
"89",2015-11-19,31.9501434533867,11.142895008593,2.5673741414309,5.90376139679965,17.3470339754573,2.75690380974136,3.18567522043348,0.616821534732487,2.87075118843572,0,0.233079710989857,2.63415596543367,0,11.9044825857692,0.630808535451663,0
"90",2015-11-18,31.7241432812297,10.9649496830512,2.57630138067131,5.97434152343608,17.5502003333524,2.74082383009187,3.20882818369691,0.600619236756325,2.94219463779698,0.578037666810653,0.240721386466837,2.6484327630969,0,11.8156698967674,0.640439147689351,0
